NCells,NGuides,NCellsPerElement,MOI,MeanReads,ReadScaling,alpha_cor,Efficacy_type,Method,MTmethod,Power,CatCount
92373.0,27712,400.0,30,1.5437906,1.0,0.1,strong,perturbo,fdr,0.3985362608117099,3006
69280.0,27712,300.0,30,1.5532247,1.0,0.1,strong,perturbo,fdr,0.3735861610113107,3006
346400.0,27712,1500.0,30,1.5420465,1.0,0.1,strong,perturbo,fdr,0.5355954757152362,3006
34640.0,27712,150.0,30,0.77762055,0.5,0.1,strong,perturbo,fdr,0.20059880239520958,3006
23093.0,27712,100.0,30,1.5370864,1.0,0.1,strong,perturbo,fdr,0.19560878243512975,3006
18474.0,27712,80.0,30,1.5598648,1.0,0.1,strong,perturbo,fdr,0.17598137059214902,3006
173200.0,27712,750.0,30,6.195081,4.0,0.1,strong,perturbo,fdr,0.6340652029274784,3006
346400.0,27712,1500.0,30,4.626527,3.0,0.1,strong,perturbo,fdr,0.6467065868263473,3006
115466.0,27712,500.0,30,1.545517,1.0,0.1,strong,perturbo,fdr,0.4481037924151697,3006
461866.0,27712,2000.0,30,6.1885004,4.0,0.1,strong,perturbo,fdr,0.6966067864271457,3006
18474.0,27712,80.0,30,3.118205,2.0,0.1,strong,perturbo,fdr,0.25582168995342647,3006
230933.0,27712,1000.0,30,6.1882663,4.0,0.1,strong,perturbo,fdr,0.6543579507651364,3006
346400.0,27712,1500.0,30,6.1680207,4.0,0.1,strong,perturbo,fdr,0.6803060545575516,3006
4618.0,27712,20.0,30,4.613905,3.0,0.1,strong,perturbo,fdr,0.08815701929474384,3006
46186.0,27712,200.0,30,0.7749263,0.5,0.1,strong,perturbo,fdr,0.23353293413173654,3006
115466.0,27712,500.0,30,3.0912652,2.0,0.1,strong,perturbo,fdr,0.5123087159015303,3006
18474.0,27712,80.0,30,0.77974474,0.5,0.1,strong,perturbo,fdr,0.12208915502328677,3006
230933.0,27712,1000.0,30,0.7737101,0.5,0.1,strong,perturbo,fdr,0.42248835662009315,3006
57733.0,27712,250.0,30,0.7753124,0.5,0.1,strong,perturbo,fdr,0.25449101796407186,3006
46186.0,27712,200.0,30,4.6482005,3.0,0.1,strong,perturbo,fdr,0.4184963406520293,3006
23093.0,27712,100.0,30,6.147184,4.0,0.1,strong,perturbo,fdr,0.34464404524284764,3006
461866.0,27712,2000.0,30,0.7732966,0.5,0.1,strong,perturbo,fdr,0.47904191616766467,3006
230933.0,27712,1000.0,30,1.5473558,1.0,0.1,strong,perturbo,fdr,0.5109780439121756,3006
57733.0,27712,250.0,30,4.6507225,3.0,0.1,strong,perturbo,fdr,0.4560878243512974,3006
9237.0,27712,40.0,30,6.1726975,4.0,0.1,strong,perturbo,fdr,0.20825016633399868,3006
46186.0,27712,200.0,30,6.1996317,4.0,0.1,strong,perturbo,fdr,0.4560878243512974,3006
115466.0,27712,500.0,30,0.772709,0.5,0.1,strong,perturbo,fdr,0.3479707252162342,3006
230933.0,27712,1000.0,30,4.6414156,3.0,0.1,strong,perturbo,fdr,0.6317365269461078,3006
69280.0,27712,300.0,30,0.7768335,0.5,0.1,strong,perturbo,fdr,0.29474384564204925,3006
13856.0,27712,60.0,30,4.65151,3.0,0.1,strong,perturbo,fdr,0.24683965402528277,3006
346400.0,27712,1500.0,30,0.7709941,0.5,0.1,strong,perturbo,fdr,0.4387890884896873,3006
57733.0,27712,250.0,30,6.202262,4.0,0.1,strong,perturbo,fdr,0.4953426480372588,3006
69280.0,27712,300.0,30,4.6594176,3.0,0.1,strong,perturbo,fdr,0.48369926813040587,3006
69280.0,27712,300.0,30,3.1073627,2.0,0.1,strong,perturbo,fdr,0.44743845642049235,3006
9237.0,27712,40.0,30,0.771639,0.5,0.1,strong,perturbo,fdr,0.05588822355289421,3006
92373.0,27712,400.0,30,3.0875945,2.0,0.1,strong,perturbo,fdr,0.49135063206919494,3006
9237.0,27712,40.0,30,3.0868368,2.0,0.1,strong,perturbo,fdr,0.15602129075182966,3006
173200.0,27712,750.0,30,4.64567,3.0,0.1,strong,perturbo,fdr,0.6047904191616766,3006
4618.0,27712,20.0,30,6.151029,4.0,0.1,strong,perturbo,fdr,0.07252162341982701,3006
57733.0,27712,250.0,30,3.0998182,2.0,0.1,strong,perturbo,fdr,0.3985362608117099,3006
92373.0,27712,400.0,30,6.1758885,4.0,0.1,strong,perturbo,fdr,0.5615435795076513,3006
173200.0,27712,750.0,30,0.7743531,0.5,0.1,strong,perturbo,fdr,0.4055222887558217,3006
13856.0,27712,60.0,30,0.7750933,0.5,0.1,strong,perturbo,fdr,0.08649367930805056,3006
69280.0,27712,300.0,30,6.213275,4.0,0.1,strong,perturbo,fdr,0.5389221556886228,3006
18474.0,27712,80.0,30,6.238088,4.0,0.1,strong,perturbo,fdr,0.3013972055888224,3006
34640.0,27712,150.0,30,4.6644015,3.0,0.1,strong,perturbo,fdr,0.38855622089155023,3006
230933.0,27712,1000.0,30,3.094494,2.0,0.1,strong,perturbo,fdr,0.5874916833000665,3006
4618.0,27712,20.0,30,3.075363,2.0,0.1,strong,perturbo,fdr,0.037258815701929474,3006
13856.0,27712,60.0,30,3.0997977,2.0,0.1,strong,perturbo,fdr,0.20592149035262808,3006
92373.0,27712,400.0,30,4.6317,3.0,0.1,strong,perturbo,fdr,0.540585495675316,3006
13856.0,27712,60.0,30,1.5496569,1.0,0.1,strong,perturbo,fdr,0.1513639387890885,3006
18474.0,27712,80.0,30,4.678743,3.0,0.1,strong,perturbo,fdr,0.2661343978709248,3006
46186.0,27712,200.0,30,3.0999935,2.0,0.1,strong,perturbo,fdr,0.3888888888888889,3006
9237.0,27712,40.0,30,1.5431583,1.0,0.1,strong,perturbo,fdr,0.1164337990685296,3006
173200.0,27712,750.0,30,3.097417,2.0,0.1,strong,perturbo,fdr,0.5728542914171657,3006
173200.0,27712,750.0,30,1.5485619,1.0,0.1,strong,perturbo,fdr,0.4906852960745176,3006
23093.0,27712,100.0,30,3.075229,2.0,0.1,strong,perturbo,fdr,0.26280771789753826,3006
13856.0,27712,60.0,30,6.197395,4.0,0.1,strong,perturbo,fdr,0.27644710578842313,3006
346400.0,27712,1500.0,30,3.0840194,2.0,0.1,strong,perturbo,fdr,0.6021290751829674,3006
46186.0,27712,200.0,30,1.5497365,1.0,0.1,strong,perturbo,fdr,0.31636726546906185,3006
57733.0,27712,250.0,30,1.5502908,1.0,0.1,strong,perturbo,fdr,0.3456420492348636,3006
9237.0,27712,40.0,30,4.6299057,3.0,0.1,strong,perturbo,fdr,0.18729208250166335,3006
92373.0,27712,400.0,30,0.7718785,0.5,0.1,strong,perturbo,fdr,0.2944111776447106,3006
115466.0,27712,500.0,30,4.6366916,3.0,0.1,strong,perturbo,fdr,0.5588822355289421,3006
23093.0,27712,100.0,30,4.611782,3.0,0.1,strong,perturbo,fdr,0.3130405854956753,3006
461866.0,27712,2000.0,30,4.6407704,3.0,0.1,strong,perturbo,fdr,0.6653359946773121,3006
34640.0,27712,150.0,30,6.2238092,4.0,0.1,strong,perturbo,fdr,0.40951430472388556,3006
34640.0,27712,150.0,30,3.1102161,2.0,0.1,strong,perturbo,fdr,0.33499667332002664,3006
461866.0,27712,2000.0,30,1.5468155,1.0,0.1,strong,perturbo,fdr,0.5558882235528942,3006
4618.0,27712,20.0,30,0.7688258,0.5,0.1,strong,perturbo,fdr,0.020625415834996674,3006
461866.0,27712,2000.0,30,3.0934093,2.0,0.1,strong,perturbo,fdr,0.6224218230206254,3006
115466.0,27712,500.0,30,6.182075,4.0,0.1,strong,perturbo,fdr,0.6004657351962741,3006
23093.0,27712,100.0,30,0.76822644,0.5,0.1,strong,perturbo,fdr,0.1377245508982036,3006
4618.0,27712,20.0,30,1.5379217,1.0,0.1,strong,perturbo,fdr,0.03127079174983367,3006
34640.0,27712,150.0,30,1.5551398,1.0,0.1,strong,perturbo,fdr,0.24151696606786427,3006
