NCells,NGuides,NCellsPerElement,MOI,MeanReads,ReadScaling,alpha_cor,Efficacy_type,Method,MTmethod,Power,CatCount
1443400,8248,175,1,5.6726646,4.0,0.1,strong,perturbo_mixture,fdr,0.972356935014549,8248
247440,8248,30,1,1.4170283,1.0,0.1,strong,perturbo_mixture,fdr,0.1226964112512124,8248
247440,8248,30,1,2.8340032,2.0,0.1,strong,perturbo_mixture,fdr,0.2449078564500485,8248
82480,8248,10,1,5.682448,4.0,0.1,strong,perturbo_mixture,fdr,0.0374636275460717,8248
1649600,8248,200,1,1.4147899,1.0,0.1,strong,perturbo_mixture,fdr,0.9108874878758488,8248
824800,8248,100,1,5.668378,4.0,0.1,strong,perturbo_mixture,fdr,0.93586323957323,8248
494880,8248,60,1,5.6724257,4.0,0.1,strong,perturbo_mixture,fdr,0.8123181377303589,8248
494880,8248,60,1,0.7093492,0.5,0.1,strong,perturbo_mixture,fdr,0.2330261881668283,8248
412400,8248,50,1,2.8314722,2.0,0.1,strong,perturbo_mixture,fdr,0.5657129000969933,8248
82480,8248,10,1,2.8411834,2.0,0.1,strong,perturbo_mixture,fdr,0.0155189136760426,8248
659840,8248,80,1,2.8294673,2.0,0.1,strong,perturbo_mixture,fdr,0.815470417070805,8248
1031000,8248,125,1,2.8265424,2.0,0.1,strong,perturbo_mixture,fdr,0.9196168768186228,8248
659840,8248,80,1,5.6593294,4.0,0.1,strong,perturbo_mixture,fdr,0.903976721629486,8248
247440,8248,30,1,4.2510324,3.0,0.1,strong,perturbo_mixture,fdr,0.3482056256062075,8248
1649600,8248,200,1,5.6637664,4.0,0.1,strong,perturbo_mixture,fdr,0.8724539282250242,8248
1649600,8248,200,1,2.83067,2.0,0.1,strong,perturbo_mixture,fdr,0.9559893307468476,8248
82480,8248,10,1,0.7102773,0.5,0.1,strong,perturbo_mixture,fdr,0.0040009699321047,8248
412400,8248,50,1,4.247184,3.0,0.1,strong,perturbo_mixture,fdr,0.671556741028128,8248
1649600,8248,200,1,0.707375,0.5,0.1,strong,perturbo_mixture,fdr,0.8204413191076625,8248
1031000,8248,125,1,0.7067594,0.5,0.1,strong,perturbo_mixture,fdr,0.7004122211445198,8248
329920,8248,40,1,4.2478914,3.0,0.1,strong,perturbo_mixture,fdr,0.5346750727449079,8248
329920,8248,40,1,2.8320305,2.0,0.1,strong,perturbo_mixture,fdr,0.3931862269641125,8248
247440,8248,30,1,5.667725,4.0,0.1,strong,perturbo_mixture,fdr,0.41864694471387,8248
494880,8248,60,1,2.8367164,2.0,0.1,strong,perturbo_mixture,fdr,0.6890155189136761,8248
82480,8248,10,1,4.2618637,3.0,0.1,strong,perturbo_mixture,fdr,0.0209747817652764,8248
164960,8248,20,1,0.707297,0.5,0.1,strong,perturbo_mixture,fdr,0.017458777885548,8248
412400,8248,50,1,1.4156399,1.0,0.1,strong,perturbo_mixture,fdr,0.346023278370514,8248
1649600,8248,200,1,4.2472477,3.0,0.1,strong,perturbo_mixture,fdr,0.8684529582929195,8248
659840,8248,80,1,4.2441816,3.0,0.1,strong,perturbo_mixture,fdr,0.8628758486905916,8248
329920,8248,40,1,5.6638584,4.0,0.1,strong,perturbo_mixture,fdr,0.6087536372453928,8248
329920,8248,40,1,0.70805943,0.5,0.1,strong,perturbo_mixture,fdr,0.1096023278370514,8248
1237200,8248,150,1,1.4168895,1.0,0.1,strong,perturbo_mixture,fdr,0.88360814742968,8248
164960,8248,20,1,1.4146022,1.0,0.1,strong,perturbo_mixture,fdr,0.0375848690591658,8248
1443400,8248,175,1,1.417797,1.0,0.1,strong,perturbo_mixture,fdr,0.9150096993210476,8248
164960,8248,20,1,4.2440233,3.0,0.1,strong,perturbo_mixture,fdr,0.1475509214354995,8248
824800,8248,100,1,2.8337915,2.0,0.1,strong,perturbo_mixture,fdr,0.8759699321047527,8248
329920,8248,40,1,1.4161073,1.0,0.1,strong,perturbo_mixture,fdr,0.2190834141610087,8248
1237200,8248,150,1,0.7082165,0.5,0.1,strong,perturbo_mixture,fdr,0.7590931134820562,8248
494880,8248,60,1,1.4185219,1.0,0.1,strong,perturbo_mixture,fdr,0.4548981571290009,8248
164960,8248,20,1,2.8293602,2.0,0.1,strong,perturbo_mixture,fdr,0.0853540252182347,8248
659840,8248,80,1,0.7074046,0.5,0.1,strong,perturbo_mixture,fdr,0.4217992240543162,8248
1031000,8248,125,1,1.4136969,1.0,0.1,strong,perturbo_mixture,fdr,0.8421435499515034,8248
